
Age Range,Value,Name,Group Other,BirthDay,Numberid,คุณเกิดวันที่เท่าไหร่,เพศ,อายุ
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,24/6/2530,13,24/6/2530,หญิง,34
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,,14,9/1/2564,ชาย,0
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,29/1/2536,15,29/1/2536,ชาย,28
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,14/3/2535,16,14/3/2535,หญิง,29
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,16/6/2533,17,16/6/2533,หญิง,31
36-40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,4/12/2528,18,4/12/2528,ชาย,36
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,10/11/2537,19,10/11/2537,หญิง,27
31-35,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,28/8/2530,20,28/8/2530,ชาย,34
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,22/7/2536,21,22/7/2536,ชาย,28
>40,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,12/9/2521,22,12/9/2521,ชาย,43
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Other,12/4/2534,23,12/4/2534,ชาย,30
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,13/9/2534,24,13/9/2534,ชาย,30
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),ดูดวง,28/11/2537,25,28/11/2537,หญิง,27
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,18/10/2536,26,18/10/2536,ชาย,28
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,29/5/2535,27,29/5/2535,หญิง,29
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),รถยนต์,29/7/2534,28,29/7/2534,หญิง,30
20-25,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,1/3/2539,29,1/3/2539,ชาย,25
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),ขนมหวาน,12/3/2535,30,12/3/2535,ชาย,29
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,25/8/2534,31,25/8/2534,ชาย,30
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,8/4/2538,32,8/4/2538,หญิง,26
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,28/1/2536,33,28/1/2536,ชาย,28
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,22/3/2534,34,22/3/2534,ชาย,30
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,23/10/2531,35,23/10/2531,หญิง,33
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,16/11/2535,36,16/11/2535,ชาย,29
>40,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,16/11/2519,37,16/11/2519,ชาย,45
31-35,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,25/11/2532,38,25/11/2532,ชาย,32
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,22/12/2535,39,22/12/2535,หญิง,29
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),ขนมหวาน,16/10/2529,40,16/10/2529,หญิง,35
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,6/1/2535,41,6/1/2535,หญิง,29
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,12/6/2533,42,12/6/2533,หญิง,31
>40,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,20/5/2520,43,20/5/2520,ชาย,44
31-35,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Sport,13/9/2531,44,13/9/2531,ชาย,33
20-25,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,4/5/2539,45,4/5/2539,หญิง,25
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Other,20/3/2539,46,20/3/2539,หญิง,25
36-40,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,27/11/2528,47,27/11/2528,หญิง,36
36-40,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,31/7/2527,48,31/7/2527,ชาย,37
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),รถยนต์,22/9/2536,49,22/9/2536,ชาย,28
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Other,30/10/2534,50,30/10/2534,ชาย,30
36-40,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),รถยนต์,22/5/2528,51,22/5/2528,หญิง,36
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,6/2/2531,52,6/2/2531,หญิง,33
20-25,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,18/11/2541,53,18/11/2541,หญิง,23
>40,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Technology,17/3/2523,54,17/3/2523,ชาย,41
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,4/2/2539,55,4/2/2539,ชาย,25
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,9/12/2530,56,9/12/2530,หญิง,34
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,25/3/2537,57,25/3/2537,ชาย,27
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,22/5/2532,58,22/5/2532,หญิง,32
>40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,4/12/2516,59,4/12/2516,หญิง,48
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),กิจกรรมต่างๆ,17/12/2532,60,17/12/2532,ชาย,32
26-30,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),สัตว์เลี้ยง,19/5/2537,61,19/5/2537,หญิง,27
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Social,20/6/2533,62,20/6/2533,หญิง,31
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (Content เกี่ยวกับการ review ร้านอาหาร),Stock/Saving,26/3/2534,63,26/3/2534,ไม่ต้องการระบุ,30
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,19/9/2531,1,19/9/2531,ชาย,33
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,10/8/2536,2,10/8/2536,หญิง,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Other,7/11/2536,3,7/11/2536,ชาย,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),ดูดวง,14/4/2537,4,14/4/2537,ชาย,27
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,19/4/2538,5,19/4/2538,หญิง,26
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,25/4/2536,6,25/4/2536,ชาย,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,17/5/2535,7,17/5/2535,หญิง,29
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,2/4/2536,8,2/4/2536,ชาย,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,29/12/2536,9,29/12/2536,ชาย,28
36-40,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,11/11/2528,10,11/11/2528,ชาย,36
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,11/3/2534,11,11/3/2534,ชาย,30
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,9/2/2535,12,9/2/2535,หญิง,29
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,24/6/2530,13,24/6/2530,หญิง,34
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,,14,9/1/2564,ชาย,0
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,29/1/2536,15,29/1/2536,ชาย,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,14/3/2535,16,14/3/2535,หญิง,29
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,16/6/2533,17,16/6/2533,หญิง,31
36-40,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,4/12/2528,18,4/12/2528,ชาย,36
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,10/11/2537,19,10/11/2537,หญิง,27
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,28/8/2530,20,28/8/2530,ชาย,34
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,22/7/2536,21,22/7/2536,ชาย,28
>40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,12/9/2521,22,12/9/2521,ชาย,43
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Other,12/4/2534,23,12/4/2534,ชาย,30
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,13/9/2534,24,13/9/2534,ชาย,30
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),ดูดวง,28/11/2537,25,28/11/2537,หญิง,27
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,18/10/2536,26,18/10/2536,ชาย,28
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,29/5/2535,27,29/5/2535,หญิง,29
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),รถยนต์,29/7/2534,28,29/7/2534,หญิง,30
20-25,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,1/3/2539,29,1/3/2539,ชาย,25
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),ขนมหวาน,12/3/2535,30,12/3/2535,ชาย,29
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,25/8/2534,31,25/8/2534,ชาย,30
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,8/4/2538,32,8/4/2538,หญิง,26
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,28/1/2536,33,28/1/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,22/3/2534,34,22/3/2534,ชาย,30
31-35,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,23/10/2531,35,23/10/2531,หญิง,33
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,16/11/2535,36,16/11/2535,ชาย,29
>40,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,16/11/2519,37,16/11/2519,ชาย,45
31-35,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,25/11/2532,38,25/11/2532,ชาย,32
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,22/12/2535,39,22/12/2535,หญิง,29
31-35,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),ขนมหวาน,16/10/2529,40,16/10/2529,หญิง,35
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,6/1/2535,41,6/1/2535,หญิง,29
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,12/6/2533,42,12/6/2533,หญิง,31
>40,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,20/5/2520,43,20/5/2520,ชาย,44
31-35,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Sport,13/9/2531,44,13/9/2531,ชาย,33
20-25,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,4/5/2539,45,4/5/2539,หญิง,25
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Other,20/3/2539,46,20/3/2539,หญิง,25
36-40,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,27/11/2528,47,27/11/2528,หญิง,36
36-40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,31/7/2527,48,31/7/2527,ชาย,37
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),รถยนต์,22/9/2536,49,22/9/2536,ชาย,28
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Other,30/10/2534,50,30/10/2534,ชาย,30
36-40,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),รถยนต์,22/5/2528,51,22/5/2528,หญิง,36
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,6/2/2531,52,6/2/2531,หญิง,33
20-25,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,18/11/2541,53,18/11/2541,หญิง,23
>40,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Technology,17/3/2523,54,17/3/2523,ชาย,41
20-25,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,4/2/2539,55,4/2/2539,ชาย,25
31-35,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,9/12/2530,56,9/12/2530,หญิง,34
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,25/3/2537,57,25/3/2537,ชาย,27
31-35,6,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,22/5/2532,58,22/5/2532,หญิง,32
>40,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,4/12/2516,59,4/12/2516,หญิง,48
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),กิจกรรมต่างๆ,17/12/2532,60,17/12/2532,ชาย,32
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),สัตว์เลี้ยง,19/5/2537,61,19/5/2537,หญิง,27
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Social,20/6/2533,62,20/6/2533,หญิง,31
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (เหล้าเบียร์),Stock/Saving,26/3/2534,63,26/3/2534,ไม่ต้องการระบุ,30
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Sport,19/9/2531,1,19/9/2531,ชาย,33
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Sport,10/8/2536,2,10/8/2536,หญิง,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Other,7/11/2536,3,7/11/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),ดูดวง,14/4/2537,4,14/4/2537,ชาย,27
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),สัตว์เลี้ยง,19/4/2538,5,19/4/2538,หญิง,26
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Stock/Saving,25/4/2536,6,25/4/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Technology,17/5/2535,7,17/5/2535,หญิง,29
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Sport,2/4/2536,8,2/4/2536,ชาย,28
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Technology,29/12/2536,9,29/12/2536,ชาย,28
36-40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,11/11/2528,10,11/11/2528,ชาย,36
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),สัตว์เลี้ยง,11/3/2534,11,11/3/2534,ชาย,30
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,9/2/2535,12,9/2/2535,หญิง,29
31-35,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Social,24/6/2530,13,24/6/2530,หญิง,34
20-25,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Stock/Saving,,14,9/1/2564,ชาย,0
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,29/1/2536,15,29/1/2536,ชาย,28
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),สัตว์เลี้ยง,14/3/2535,16,14/3/2535,หญิง,29
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,16/6/2533,17,16/6/2533,หญิง,31
36-40,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,4/12/2528,18,4/12/2528,ชาย,36
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),สัตว์เลี้ยง,10/11/2537,19,10/11/2537,หญิง,27
31-35,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,28/8/2530,20,28/8/2530,ชาย,34
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Technology,22/7/2536,21,22/7/2536,ชาย,28
>40,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Technology,12/9/2521,22,12/9/2521,ชาย,43
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Other,12/4/2534,23,12/4/2534,ชาย,30
26-30,1,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,13/9/2534,24,13/9/2534,ชาย,30
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),ดูดวง,28/11/2537,25,28/11/2537,หญิง,27
26-30,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Technology,18/10/2536,26,18/10/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Stock/Saving,29/5/2535,27,29/5/2535,หญิง,29
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),รถยนต์,29/7/2534,28,29/7/2534,หญิง,30
20-25,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Sport,1/3/2539,29,1/3/2539,ชาย,25
26-30,3,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),ขนมหวาน,12/3/2535,30,12/3/2535,ชาย,29
26-30,5,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Stock/Saving,25/8/2534,31,25/8/2534,ชาย,30
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),กิจกรรมต่างๆ,8/4/2538,32,8/4/2538,หญิง,26
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Social,28/1/2536,33,28/1/2536,ชาย,28
26-30,4,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Sport,22/3/2534,34,22/3/2534,ชาย,30
31-35,2,คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน (ปิ้งย่าง),Stock/Saving,23/10/2531,35,23/10/2531,หญิง,33
